order_id,type,side,price,quantity,timestamp
1,L,B,9993,378,0
2,L,S,10046,280,1000
3,L,B,10046,259,2000
4,L,S,10008,367,3000
5,L,S,10016,415,4000
6,C,,2,0,5000
7,M,B,0,20,6000
8,L,S,10087,53,7000
9,L,B,10052,414,8000
10,L,B,9926,64,9000
11,C,,5,0,10000
12,L,B,9905,186,11000
13,L,S,9900,24,12000
14,M,S,0,11,13000
15,C,,3,0,14000
16,L,B,10020,182,15000
17,L,B,9966,480,16000
18,M,B,0,82,17000
19,L,S,10033,474,18000
20,L,S,10055,351,19000
21,L,S,10116,413,20000
22,L,B,10042,109,21000
23,C,,19,0,22000
24,C,,12,0,23000
25,L,B,10071,74,24000
26,L,B,9937,288,25000
27,L,S,9921,186,26000
28,L,S,10038,261,27000
29,L,S,10024,82,28000
30,M,B,0,9,29000
31,L,S,9971,240,30000
32,L,S,10006,370,31000
33,L,S,9993,385,32000
34,L,S,10054,233,33000
35,L,S,10045,369,34000
36,L,S,10063,446,35000
37,L,S,10132,260,36000
38,L,B,10006,399,37000
39,C,,1,0,38000
40,L,B,9918,58,39000
41,C,,22,0,40000
42,L,B,9976,375,41000
43,L,B,9989,390,42000
44,L,B,9914,85,43000
45,L,S,9864,217,44000
46,C,,34,0,45000
47,M,S,0,92,46000
48,L,S,9958,265,47000
49,L,B,9943,33,48000
50,L,S,10005,37,49000
51,M,B,0,9,50000
52,C,,49,0,51000
53,L,S,10046,143,52000
54,M,B,0,17,53000
55,M,S,0,74,54000
56,L,S,10015,50,55000
57,M,B,0,53,56000
58,L,S,9960,345,57000
59,M,S,0,8,58000
60,L,B,10032,98,59000
61,L,B,9962,94,60000
62,L,B,10063,442,61000
63,C,,17,0,62000
64,L,S,9967,429,63000
65,L,B,10001,209,64000
66,L,B,9952,206,65000
67,C,,27,0,66000
68,L,S,9989,233,67000
69,L,S,10116,375,68000
70,C,,68,0,69000
71,M,B,0,25,70000
72,L,S,9927,383,71000
73,L,B,9961,245,72000
74,L,S,10093,42,73000
75,C,,13,0,74000
76,L,S,10141,121,75000
77,L,S,9921,21,76000
78,L,B,9963,299,77000
79,L,B,9994,161,78000
80,L,B,10099,344,79000
81,L,B,10140,5,80000
82,L,S,9933,52,81000
83,L,B,9986,452,82000
84,L,B,10154,146,83000
85,L,S,9974,414,84000
86,M,B,0,71,85000
87,L,S,9913,481,86000
88,C,,37,0,87000
89,L,B,9950,310,88000
90,L,B,9983,352,89000
91,L,B,9856,434,90000
92,L,S,10010,425,91000
93,L,B,10012,135,92000
94,L,B,9906,362,93000
95,L,B,10122,463,94000
96,L,B,10062,190,95000
97,L,B,10039,461,96000
98,C,,96,0,97000
99,L,B,10041,350,98000
100,L,B,10026,209,99000
101,C,,87,0,100000
102,L,S,9865,443,101000
103,L,S,10030,92,102000
104,M,B,0,53,103000
105,M,S,0,32,104000
106,L,S,10061,56,105000
107,L,B,9957,471,106000
108,L,B,10008,408,107000
109,C,,35,0,108000
110,L,B,9938,496,109000
111,M,B,0,66,110000
112,L,S,10117,275,111000
113,L,B,10037,298,112000
114,C,,72,0,113000
115,L,S,9964,177,114000
116,M,B,0,78,115000
117,C,,36,0,116000
118,L,S,9997,1,117000
119,L,S,10104,352,118000
120,M,S,0,86,119000
121,L,B,10142,320,120000
122,L,S,9953,369,121000
123,C,,119,0,122000
124,L,B,9955,66,123000
